dataRecebimento,dataDespacho,idPedido_FK,idUnidade_FK
2017-11-13,2018-08-16,151,89
2018-01-05,2018-10-11,6,61
2017-04-13,2019-01-29,143,72
2016-10-04,2019-03-17,79,22
2016-12-09,2019-02-07,145,11
2017-02-14,2019-02-09,20,51
2018-05-25,2018-12-29,81,56
2017-12-17,2018-12-21,198,19
2016-06-28,2019-01-30,188,75
2017-11-18,2018-10-16,92,77
2017-09-09,2019-06-08,21,75
2017-03-15,2019-05-31,122,57
2018-01-22,2019-02-01,17,56
2017-07-30,2019-06-14,165,64
2017-06-29,2018-07-21,139,10
2017-11-12,2018-10-13,75,15
2017-09-07,2019-03-10,53,96
2017-08-16,2019-03-04,153,56
2016-06-25,2018-07-05,89,63
2016-09-02,2018-11-15,170,56
2017-01-30,2019-05-16,20,89
2017-08-26,2018-10-03,42,29
2017-05-15,2018-10-12,71,52
2017-11-01,2018-08-14,176,98
2018-06-09,2019-01-06,185,2
2018-03-19,2018-09-01,193,48
2018-01-14,2019-01-12,27,5
2017-01-29,2019-02-15,123,48
2017-03-27,2018-10-17,32,94
2016-06-24,2018-09-23,132,34
2018-05-19,2019-01-09,32,43
2018-01-09,2018-09-10,126,99
2018-04-26,2018-10-02,124,34
2017-12-01,2018-09-14,156,69
2016-07-03,2018-11-27,75,10
2016-07-02,2019-05-24,94,88
2016-12-15,2018-10-20,158,43
2017-12-28,2018-09-04,148,82
2016-10-04,2018-08-10,121,82
2016-11-02,2018-07-12,76,72
2018-04-02,2019-04-06,195,37
2018-06-03,2019-01-04,32,33
2017-12-13,2018-10-03,132,61
2018-02-22,2018-06-26,53,40
2016-11-28,2018-12-28,31,64
2017-06-15,2018-08-18,53,4
2017-10-15,2019-05-31,75,90
2016-12-10,2019-03-25,168,87
2017-05-08,2019-05-30,165,69
2017-02-04,2019-01-04,69,1
2016-08-21,2019-04-05,149,97
2017-06-15,2019-04-04,54,16
2017-10-05,2018-10-14,13,4
2018-05-23,2019-03-23,54,73
2016-11-22,2019-03-09,34,86
2017-02-26,2018-09-14,12,59
2017-03-28,2018-12-03,186,51
2018-04-16,2018-06-24,160,59
2018-04-19,2018-09-11,200,5
2016-08-01,2019-03-23,58,81
2017-05-01,2018-07-13,185,66
2017-11-17,2018-12-29,126,25
2018-04-11,2019-03-03,15,4
2016-08-16,2019-01-13,64,30
2017-07-01,2019-04-11,88,64
2018-06-04,2019-04-27,141,75
2018-06-04,2018-07-01,70,55
2017-03-22,2019-02-22,163,29
2017-09-10,2018-12-02,185,90
2017-11-17,2018-11-22,56,5
2016-08-22,2018-06-17,154,72
2016-12-24,2018-12-05,130,44
2018-05-02,2019-02-02,90,1
2017-06-06,2018-07-30,189,67
2018-04-27,2019-04-27,67,28
2016-06-24,2019-03-15,78,23
2017-10-17,2019-05-06,151,98
2018-04-16,2019-01-04,35,82
2016-12-04,2019-03-13,111,93
2017-04-13,2018-08-11,96,52
2017-02-08,2018-10-29,13,92
2017-03-11,2019-03-21,172,82
2017-06-18,2018-12-15,71,81
2016-09-11,2019-04-30,93,95
2017-05-26,2018-12-17,22,94
2017-08-15,2018-08-17,97,84
2017-06-06,2018-09-09,194,79
2017-03-19,2019-03-05,138,81
2016-07-28,2018-10-22,92,42
2018-05-11,2019-03-11,188,83
2016-08-11,2019-01-05,7,86
2016-12-22,2018-06-16,18,67
2016-08-13,2019-03-11,136,22
2018-04-19,2019-04-07,73,83
2017-01-26,2018-10-04,17,31
2016-07-05,2019-05-18,80,62
2017-07-26,2019-02-04,35,75
2017-01-10,2019-04-05,23,26
2016-08-24,2018-10-18,69,85
2018-03-16,2019-02-07,66,80
2017-01-13,2018-08-06,172,34
2017-09-07,2018-11-26,153,34
2017-11-06,2019-02-28,173,52
2017-10-04,2019-02-17,13,31
2016-06-23,2019-05-03,154,26
2017-11-17,2019-05-01,86,8
2017-09-24,2019-05-01,96,63
2017-03-13,2019-04-06,136,92
2016-10-05,2018-09-16,138,30
2017-05-27,2018-09-05,38,85
2016-09-24,2018-06-30,122,41
2016-08-30,2018-12-16,95,44
2016-07-30,2019-04-21,102,87
2017-04-04,2019-06-15,169,29
2016-12-07,2018-06-16,143,70
2016-08-25,2018-08-07,174,3
2017-10-26,2018-07-30,29,25
2018-01-11,2018-12-19,171,57
2018-05-02,2018-12-29,178,28
2017-08-16,2019-03-15,58,11
2016-10-06,2018-08-25,56,64
2017-02-11,2019-06-05,133,95
2016-08-01,2019-02-03,119,28
2017-05-18,2018-12-26,110,78
2017-07-31,2019-02-06,114,4
2018-03-21,2018-09-18,79,78
2017-07-28,2019-04-09,108,23
2017-08-20,2019-03-13,45,17
2018-04-17,2018-11-23,158,46
2016-12-05,2019-03-29,58,99
2017-07-05,2019-06-03,75,89
2016-06-26,2018-10-26,183,38
2017-08-04,2018-09-25,126,9
2017-03-25,2018-10-23,165,71
2018-01-10,2019-02-09,104,65
2016-08-30,2018-07-07,70,61
2018-02-24,2019-03-01,59,23
2017-06-09,2019-01-12,158,35
2016-07-13,2018-11-05,142,55
2017-12-26,2018-09-07,166,6
2017-02-14,2018-09-09,99,20
2018-04-27,2019-03-12,174,59
2016-07-26,2019-03-21,119,89
2016-08-22,2018-07-23,97,69
2018-04-19,2019-05-16,134,38
2018-03-18,2019-05-14,128,68
2016-07-10,2018-09-28,146,14
2016-10-25,2018-10-22,146,42
2017-04-25,2019-04-18,200,20
2017-11-03,2018-12-04,195,30
2016-10-01,2019-04-16,132,71
2017-03-06,2018-10-04,142,82
2017-01-26,2018-08-24,145,46
2017-12-23,2019-02-07,12,26
2017-10-25,2019-05-03,31,27
2016-11-10,2019-03-23,90,58
2017-01-01,2019-03-20,76,8
2016-08-20,2018-12-16,61,35
2017-05-26,2019-03-12,189,94
2017-01-15,2018-08-06,82,2
2017-01-16,2018-07-09,196,29
2017-04-21,2019-01-12,148,69
2017-04-11,2018-08-14,106,6
2017-03-16,2018-12-16,81,30
2016-12-09,2018-06-27,145,21
2017-10-28,2018-11-27,135,52
2017-04-16,2019-06-15,125,73
2018-04-09,2018-11-03,142,12
2017-01-01,2018-09-06,52,58
2017-05-21,2018-12-27,55,57
2018-02-09,2019-03-26,191,98
2018-01-17,2019-01-31,25,29
2018-02-14,2019-05-19,98,78
2017-04-05,2019-03-16,8,5
2017-04-12,2019-04-10,184,7
2017-04-13,2019-04-06,42,23
2018-02-22,2019-05-01,125,65
2016-12-12,2018-07-29,38,94
2017-06-27,2019-06-14,110,93
2016-11-13,2018-11-05,4,88
2018-02-12,2019-03-19,68,17
2016-07-08,2019-01-06,7,41
2017-08-21,2018-11-15,50,69
2017-06-25,2018-10-07,154,58
2017-08-20,2018-08-16,193,81
2016-10-18,2019-02-15,9,79
2016-06-23,2018-12-07,116,60
2017-12-19,2018-07-29,31,23
2017-11-21,2018-08-22,91,86
2018-04-04,2019-01-27,80,75
2018-02-25,2019-04-04,65,23
2017-10-23,2019-02-17,114,78
2018-02-01,2019-01-05,29,29
2017-12-16,2019-03-24,21,31
2017-11-25,2019-02-05,82,38
2017-10-29,2019-04-24,34,87
2016-09-11,2019-03-09,14,98
2017-12-17,2018-12-06,55,54
2017-02-08,2019-05-11,105,99
2017-11-08,2019-03-03,81,17
2016-09-29,2018-12-26,170,85
2017-04-26,2019-01-16,74,80
2017-01-09,2018-08-05,69,82
2016-10-01,2018-12-30,170,52
2017-02-04,2018-07-30,30,20
2016-06-21,2019-04-21,28,90
2016-11-09,2018-07-07,179,86
2017-05-19,2018-08-19,193,75
2017-12-09,2018-08-18,85,29
2016-10-05,2019-02-11,123,81
2018-02-02,2018-11-08,128,78
2017-08-09,2019-04-24,18,74
2018-04-21,2018-12-14,46,83
2017-12-19,2019-02-13,122,12
2017-12-13,2019-01-28,90,69
2017-02-21,2019-04-11,57,46
2017-08-21,2018-07-02,44,63
2017-01-16,2018-12-27,159,88
2016-12-23,2019-03-13,140,4
2016-10-10,2018-07-27,121,39
2018-01-19,2018-11-26,144,13
2017-01-10,2019-01-31,24,7
2018-04-17,2018-08-18,166,53
2017-11-23,2019-01-24,151,90
2016-10-11,2018-12-08,117,86
2016-12-16,2018-09-26,118,1
2017-12-22,2018-07-28,20,73
2016-09-04,2018-10-12,153,56
2016-11-26,2019-05-22,53,86
2017-11-01,2019-03-13,141,7
2017-09-06,2018-07-03,26,27
2017-05-17,2019-03-10,20,30
2017-07-08,2018-08-02,24,12
2017-02-14,2019-05-11,59,55
2016-11-13,2018-08-09,38,94
2016-12-21,2018-09-20,34,96
2017-06-14,2019-03-17,182,86
2017-03-09,2019-01-02,126,24
2018-03-03,2018-06-29,95,76
2016-11-24,2019-04-16,17,43
2017-08-26,2018-11-21,140,54
2017-02-14,2018-08-12,182,51
2018-01-31,2018-11-21,35,8
2017-09-07,2019-04-25,191,77
2017-07-03,2018-06-19,118,44
2017-02-17,2018-09-12,21,8
2017-12-28,2018-11-09,159,96
2016-10-16,2018-12-24,199,98
2017-09-19,2019-03-29,41,12
2018-05-29,2018-10-01,103,21
2016-10-08,2018-09-09,4,64
2016-09-11,2019-06-04,160,56
2016-10-13,2019-02-23,122,45
2018-01-03,2018-08-19,14,93
2016-06-16,2019-05-18,59,22
2017-09-22,2018-12-26,179,91
2017-05-17,2018-07-01,194,97
2018-04-05,2019-06-13,86,60
2016-06-18,2019-03-06,69,80
2016-08-16,2018-07-07,106,48
2016-09-15,2018-09-08,188,98
2016-11-30,2019-01-25,53,82
2017-06-23,2018-07-23,147,45
2017-09-02,2019-06-13,59,27
2017-12-29,2019-04-06,165,27
2016-12-09,2018-11-20,66,100
2017-03-26,2018-12-13,14,53
2017-04-12,2019-03-01,165,23
2018-02-21,2018-09-30,54,75
2018-01-10,2018-06-16,68,8
2016-12-05,2018-06-30,145,21
2017-10-09,2019-05-14,26,12
2016-12-29,2019-01-28,31,99
2016-10-30,2018-07-27,122,61
2017-01-17,2019-03-31,195,82
2017-08-05,2018-12-14,4,16
2017-12-27,2018-08-29,17,35
2016-12-25,2019-05-10,113,31
2017-02-10,2019-05-24,21,76
2016-07-01,2018-07-29,197,59
2017-06-13,2018-08-06,198,80
2017-01-16,2019-01-21,117,75
2016-10-20,2018-10-28,151,3
2017-05-10,2018-08-24,147,1
2017-10-01,2019-02-27,161,86
2017-08-19,2018-09-24,15,21
2018-02-03,2019-05-05,11,14
2017-02-04,2019-05-11,174,97
2016-08-02,2019-04-21,193,68
2018-05-06,2019-04-14,186,69
2017-07-14,2018-12-04,145,59
2016-10-11,2019-03-05,86,76
2018-04-29,2019-01-29,62,42
2016-10-27,2019-06-02,28,47
2017-02-28,2018-10-17,117,25
2017-08-19,2019-05-22,99,37
2017-07-26,2018-10-06,182,28
2017-05-19,2019-01-10,184,80
2018-01-09,2018-06-26,23,89
2017-03-05,2019-01-11,189,99
2017-03-29,2018-11-11,153,46
2018-01-01,2018-07-15,121,2
2016-11-08,2018-12-31,197,54
2017-01-02,2018-08-14,174,48
2016-11-30,2019-02-26,197,19
2016-07-29,2018-08-19,166,4
2018-02-14,2018-06-27,55,46
2017-03-22,2019-02-11,52,61
2017-09-28,2019-02-18,182,54
2017-04-10,2018-10-11,72,90
2016-12-04,2018-07-02,151,7
2018-04-12,2018-12-29,34,30
2018-06-03,2018-12-22,167,87
2017-02-13,2019-01-20,144,95
2017-12-01,2019-02-17,78,29
2018-01-25,2019-05-09,127,60
2016-06-24,2018-08-27,9,16
2017-04-18,2019-05-10,146,13
2017-04-01,2019-01-17,187,27
2017-02-10,2018-11-23,124,63
2018-05-05,2018-12-21,82,73
2016-11-19,2019-05-29,193,90
2018-04-29,2018-09-28,89,95
2017-08-06,2018-09-11,25,60
2017-03-27,2018-10-24,127,80
2017-01-21,2019-01-01,162,47
2016-10-30,2018-09-21,97,61
2016-07-09,2018-11-26,122,36
2016-11-19,2019-03-16,8,20
2016-11-18,2018-06-19,120,58
2017-10-07,2018-09-28,117,49
2016-06-25,2018-08-14,139,19
2017-08-06,2019-02-23,61,58
2017-01-25,2018-10-20,33,43
2018-02-03,2018-12-29,8,88
2017-05-14,2019-03-16,87,33
2016-12-30,2019-02-17,133,54
2018-03-15,2018-08-03,75,13
2017-08-14,2019-03-15,107,21
2018-01-09,2018-08-24,48,8
2017-06-10,2019-01-22,94,79
2016-10-30,2018-08-29,62,71
2017-12-26,2019-01-09,135,97
2017-11-06,2019-05-19,2,16
2017-03-13,2018-12-30,198,17
2016-11-09,2019-05-08,150,100
2017-01-20,2018-08-04,45,48
2017-12-09,2019-01-11,170,6
2017-07-06,2019-03-11,66,53
2018-01-09,2019-03-06,48,18
2017-11-17,2019-06-04,171,40
2017-09-10,2018-09-26,110,59
2017-11-07,2018-08-30,144,24
2016-12-02,2019-05-19,112,15
2017-06-11,2019-01-25,84,54
2016-11-02,2018-12-26,64,14
2017-06-09,2018-10-05,136,57
2017-03-25,2018-10-22,52,65
2018-04-22,2018-09-01,72,19
2017-08-23,2018-10-31,99,33
2016-07-11,2019-04-07,62,43
2017-10-07,2018-08-27,123,1
2017-06-16,2018-07-04,14,93
2017-06-28,2019-06-03,165,62
2017-03-06,2019-01-20,160,36
2018-03-24,2018-11-30,114,26
2017-12-11,2019-02-25,111,32
2017-11-05,2019-02-18,57,34
2017-03-24,2018-09-17,105,18
2016-12-02,2019-05-16,108,11
2016-09-21,2018-12-25,116,55
2016-10-24,2018-12-24,14,17
2018-01-20,2019-05-06,97,24
2017-01-23,2019-01-16,130,61
2018-04-12,2018-07-14,29,15
2017-08-17,2018-08-14,79,91
2016-11-02,2019-02-02,84,35
2016-11-25,2018-06-27,172,52
2018-06-01,2018-08-27,156,25
2018-05-14,2018-10-29,187,45
2017-10-05,2019-02-18,31,84
2017-01-22,2018-07-28,100,25
2016-07-16,2018-08-15,116,67
2017-04-16,2019-04-30,107,28
2016-12-06,2018-10-14,42,21
2016-12-11,2018-11-13,99,54
2016-11-29,2019-03-19,13,75
2016-09-04,2018-12-10,104,17
2017-01-20,2018-10-17,117,19
2018-03-02,2018-12-28,4,98
2017-03-25,2018-07-20,123,13
2017-05-29,2018-07-31,163,91
2016-09-12,2019-01-10,40,16
2017-10-26,2018-12-29,14,69
2017-06-25,2019-03-13,142,17
2016-12-16,2019-04-08,153,44
2017-10-28,2018-06-30,99,23
2017-01-05,2018-11-20,162,54
2017-07-05,2019-05-27,120,71
2017-02-19,2019-01-04,100,41
